api_name,node_machinefamily,node_machinetype,node_machinesize,node_memory_size,node_vcpus_count,node_ecu_count,ecu_per_vcpu,memory_per_vcpu,accelerator_count,accelerator,processor,storage_size,storage_type,storage_bandwidth,interconnection_bandwidth,storage_throughput,storage_trim_support,storage_iops
r3.xlarge,EC2Family_Memory,EC2Type_R3,EC2Type_R3_xLarge,30.5G,4,13,3.25,7.62G,0,na,Intel Xeon E5-2670 v2,80G,SSD,500.0M,Moderate,62.5M,Yes,4000
r4.16xlarge,EC2Family_Memory,EC2Type_R4,EC2Type_R4_16xLarge,488.0G,64,201,3.141,7.62G,0,na,Intel Xeon E5-2686 v4,EBS only,na,14000.0M,25G,1750.0M,na,75000
r4.2xlarge,EC2Family_Memory,EC2Type_R4,EC2Type_R4_2xLarge,61.0G,8,31,3.875,7.62G,0,na,Intel Xeon E5-2686 v4,EBS only,na,1700.0M,Up to 10G,212.5M,na,12000
r4.4xlarge,EC2Family_Memory,EC2Type_R4,EC2Type_R4_4xLarge,122.0G,16,58,3.625,7.62G,0,na,Intel Xeon E5-2686 v4,EBS only,na,3500.0M,Up to 10G,437.5M,na,18750
r4.8xlarge,EC2Family_Memory,EC2Type_R4,EC2Type_R4_8xLarge,244.0G,32,97,3.031,7.62G,0,na,Intel Xeon E5-2686 v4,EBS only,na,7000.0M,10G,875.0M,na,37500
r4.large,EC2Family_Memory,EC2Type_R4,EC2Type_R4_Large,15.25G,2,8,4,7.62G,0,na,Intel Xeon E5-2686 v4,EBS only,na,425.0M,Up to 10G,53.13M,na,3000
r4.xlarge,EC2Family_Memory,EC2Type_R4,EC2Type_R4_xLarge,30.5G,4,16,4,7.62G,0,na,Intel Xeon E5-2686 v4,EBS only,na,850.0M,Up to 10G,106.25M,na,6000
r5.12xlarge,EC2Family_Memory,EC2Type_R5,EC2Type_R5_12xLarge,384.0G,48,168,3.5,8.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,9500.0M,10G,1187.5M,na,40000
r5.16xlarge,EC2Family_Memory,EC2Type_R5,EC2Type_R5_16xLarge,512.0G,64,256,4,8.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,13600.0M,20G,1700.0M,na,60000
r5.24xlarge,EC2Family_Memory,EC2Type_R5,EC2Type_R5_24xLarge,768.0G,96,337,3.51,8.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,19000.0M,25G,2375.0M,na,80000
r5.2xlarge,EC2Family_Memory,EC2Type_R5,EC2Type_R5_2xLarge,64.0G,8,37,4.625,8.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,4750.0M,Up to 10G,593.75M,na,18750
r5.4xlarge,EC2Family_Memory,EC2Type_R5,EC2Type_R5_4xLarge,128.0G,16,70,4.375,8.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,4750.0M,Up to 10G,593.75M,na,18750
r5.8xlarge,EC2Family_Memory,EC2Type_R5,EC2Type_R5_8xLarge,256.0G,32,128,4,8.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,6800.0M,10G,850.0M,na,30000
r5.large,EC2Family_Memory,EC2Type_R5,EC2Type_R5_Large,16.0G,2,10,5,8.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,4750.0M,Up to 10G,593.75M,na,18750
r5.metal,EC2Family_Memory,EC2Type_R5,EC2Type_R5_Metal,768.0G,96,347,3.615,8.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,19000.0M,25G,2375.0M,na,80000
r5.xlarge,EC2Family_Memory,EC2Type_R5,EC2Type_R5_xLarge,32.0G,4,19,4.75,8.00G,0,na,Intel Xeon Platinum 8175,EBS only,na,4750.0M,Up to 10G,593.75M,na,18750
r5a.12xlarge,EC2Family_Memory,EC2Type_R5A,EC2Type_R5A_12xLarge,384.0G,48,0,0,8.00G,0,na,AMD EPYC 7571,EBS only,na,6780.0M,10G,847.5M,na,30000
r5a.16xlarge,EC2Family_Memory,EC2Type_R5A,EC2Type_R5A_16xLarge,512.0G,64,0,0,8.00G,0,na,AMD EPYC 7571,EBS only,na,9500.0M,12G,1187.5M,na,40000
r5a.24xlarge,EC2Family_Memory,EC2Type_R5A,EC2Type_R5A_24xLarge,768.0G,96,0,0,8.00G,0,na,AMD EPYC 7571,EBS only,na,13570.0M,20G,1696.25M,na,60000
r5a.2xlarge,EC2Family_Memory,EC2Type_R5A,EC2Type_R5A_2xLarge,64.0G,8,0,0,8.00G,0,na,AMD EPYC 7571,EBS only,na,2880.0M,Up to 10G,360.0M,na,16000
r5a.4xlarge,EC2Family_Memory,EC2Type_R5A,EC2Type_R5A_4xLarge,128.0G,16,0,0,8.00G,0,na,AMD EPYC 7571,EBS only,na,2880.0M,Up to 10G,360.0M,na,16000
r5a.8xlarge,EC2Family_Memory,EC2Type_R5A,EC2Type_R5A_8xLarge,256.0G,32,0,0,8.00G,0,na,AMD EPYC 7571,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
r5a.large,EC2Family_Memory,EC2Type_R5A,EC2Type_R5A_Large,16.0G,2,0,0,8.00G,0,na,AMD EPYC 7571,EBS only,na,2880.0M,Up to 10G,360.0M,na,16000
r5a.xlarge,EC2Family_Memory,EC2Type_R5A,EC2Type_R5A_xLarge,32.0G,4,0,0,8.00G,0,na,AMD EPYC 7571,EBS only,na,2880.0M,Up to 10G,360.0M,na,16000
r5ad.12xlarge,EC2Family_Memory,EC2Type_R5AD,EC2Type_R5AD_12xLarge,384.0G,48,0,0,8.00G,0,na,AMD EPYC 7571,1800G,NVMe SSD,6780.0M,10G,847.5M,Yes,30000
r5ad.16xlarge,EC2Family_Memory,EC2Type_R5AD,EC2Type_R5AD_16xLarge,512.0G,64,0,0,8.00G,0,na,AMD EPYC 7571,2400G,NVMe SSD,9500.0M,12G,1187.5M,Yes,40000
r5ad.24xlarge,EC2Family_Memory,EC2Type_R5AD,EC2Type_R5AD_24xLarge,768.0G,96,0,0,8.00G,0,na,AMD EPYC 7571,3600G,NVMe SSD,13570.0M,20G,1696.25M,Yes,60000
r5ad.2xlarge,EC2Family_Memory,EC2Type_R5AD,EC2Type_R5AD_2xLarge,64.0G,8,0,0,8.00G,0,na,AMD EPYC 7571,300G,SSD,2880.0M,Up to 10G,360.0M,Yes,16000
r5ad.4xlarge,EC2Family_Memory,EC2Type_R5AD,EC2Type_R5AD_4xLarge,128.0G,16,0,0,8.00G,0,na,AMD EPYC 7571,600G,NVMe SSD,2880.0M,Up to 10G,360.0M,Yes,16000
r5ad.8xlarge,EC2Family_Memory,EC2Type_R5AD,EC2Type_R5AD_8xLarge,256.0G,32,0,0,8.00G,0,na,AMD EPYC 7571,1200G,NVMe SSD,4750.0M,Up to 10G,593.75M,Yes,20000
r5ad.large,EC2Family_Memory,EC2Type_R5AD,EC2Type_R5AD_Large,16.0G,2,0,0,8.00G,0,na,AMD EPYC 7571,75G,SSD,2880.0M,Up to 10G,360.0M,Yes,16000
r5ad.xlarge,EC2Family_Memory,EC2Type_R5AD,EC2Type_R5AD_xLarge,32.0G,4,0,0,8.00G,0,na,AMD EPYC 7571,150G,SSD,2880.0M,Up to 10G,360.0M,Yes,16000
r5b.12xlarge,EC2Family_Memory,EC2Type_R5B,EC2Type_R5B_12xLarge,384.0G,48,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,30000.0M,10G,3750.0M,na,130000
r5b.16xlarge,EC2Family_Memory,EC2Type_R5B,EC2Type_R5B_16xLarge,512.0G,64,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,40000.0M,20G,5000.0M,na,173333
r5b.24xlarge,EC2Family_Memory,EC2Type_R5B,EC2Type_R5B_24xLarge,768.0G,96,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,60000.0M,25G,7500.0M,na,260000
r5b.2xlarge,EC2Family_Memory,EC2Type_R5B,EC2Type_R5B_2xLarge,64.0G,8,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,10000.0M,Up to 10G,1250.0M,na,43333
r5b.4xlarge,EC2Family_Memory,EC2Type_R5B,EC2Type_R5B_4xLarge,128.0G,16,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,10000.0M,Up to 10G,1250.0M,na,43333
r5b.8xlarge,EC2Family_Memory,EC2Type_R5B,EC2Type_R5B_8xLarge,256.0G,32,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,20000.0M,10G,2500.0M,na,86667
r5b.large,EC2Family_Memory,EC2Type_R5B,EC2Type_R5B_Large,16.0G,2,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,10000.0M,Up to 10G,1250.0M,na,43333
r5b.metal,EC2Family_Memory,EC2Type_R5B,EC2Type_R5B_Metal,768.0G,96,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,60000.0M,25G,7500.0M,na,260000
r5b.xlarge,EC2Family_Memory,EC2Type_R5B,EC2Type_R5B_xLarge,32.0G,4,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,10000.0M,Up to 10G,1250.0M,na,43333
r5d.12xlarge,EC2Family_Memory,EC2Type_R5D,EC2Type_R5D_12xLarge,384.0G,48,168,3.5,8.00G,0,na,Intel Xeon Platinum 8175,1800G,NVMe SSD,9500.0M,10G,1187.5M,Yes,40000
r5d.16xlarge,EC2Family_Memory,EC2Type_R5D,EC2Type_R5D_16xLarge,512.0G,64,256,4,8.00G,0,na,Intel Xeon Platinum 8175,2400G,NVMe SSD,13600.0M,20G,1700.0M,Yes,60000
r5d.24xlarge,EC2Family_Memory,EC2Type_R5D,EC2Type_R5D_24xLarge,768.0G,96,337,3.51,8.00G,0,na,Intel Xeon Platinum 8175,3600G,NVMe SSD,19000.0M,25G,2375.0M,Yes,80000
r5d.2xlarge,EC2Family_Memory,EC2Type_R5D,EC2Type_R5D_2xLarge,64.0G,8,37,4.625,8.00G,0,na,Intel Xeon Platinum 8175,300G,SSD,4750.0M,Up to 10G,593.75M,Yes,18750
r5d.4xlarge,EC2Family_Memory,EC2Type_R5D,EC2Type_R5D_4xLarge,128.0G,16,70,4.375,8.00G,0,na,Intel Xeon Platinum 8175,600G,NVMe SSD,4750.0M,Up to 10G,593.75M,Yes,18750
r5d.8xlarge,EC2Family_Memory,EC2Type_R5D,EC2Type_R5D_8xLarge,256.0G,32,128,4,8.00G,0,na,Intel Xeon Platinum 8175,1200G,NVMe SSD,6800.0M,10G,850.0M,Yes,30000
r5d.large,EC2Family_Memory,EC2Type_R5D,EC2Type_R5D_Large,16.0G,2,10,5,8.00G,0,na,Intel Xeon Platinum 8175,75G,SSD,4750.0M,Up to 10G,593.75M,Yes,18750
r5d.metal,EC2Family_Memory,EC2Type_R5D,EC2Type_R5D_Metal,768.0G,96,347,3.615,8.00G,0,na,Intel Xeon Platinum 8175,3600G,NVMe SSD,19000.0M,25G,2375.0M,Yes,80000
r5d.xlarge,EC2Family_Memory,EC2Type_R5D,EC2Type_R5D_xLarge,32.0G,4,19,4.75,8.00G,0,na,Intel Xeon Platinum 8175,150G,SSD,4750.0M,Up to 10G,593.75M,Yes,18750
r5dn.12xlarge,EC2Family_Memory,EC2Type_R5DN,EC2Type_R5DN_12xLarge,384.0G,48,0,0,8.00G,0,na,Intel Xeon Platinum 8259,1800G,NVMe SSD,9500.0M,50G,1187.5M,Yes,40000
r5dn.16xlarge,EC2Family_Memory,EC2Type_R5DN,EC2Type_R5DN_16xLarge,512.0G,64,0,0,8.00G,0,na,Intel Xeon Platinum 8259,2400G,NVMe SSD,13600.0M,75G,1700.0M,Yes,60000
r5dn.24xlarge,EC2Family_Memory,EC2Type_R5DN,EC2Type_R5DN_24xLarge,768.0G,96,0,0,8.00G,0,na,Intel Xeon Platinum 8259,3600G,NVMe SSD,19000.0M,100G,2375.0M,Yes,80000
r5dn.2xlarge,EC2Family_Memory,EC2Type_R5DN,EC2Type_R5DN_2xLarge,64.0G,8,0,0,8.00G,0,na,Intel Xeon Platinum 8259,300G,SSD,4750.0M,Up to 25G,593.75M,Yes,18750
r5dn.4xlarge,EC2Family_Memory,EC2Type_R5DN,EC2Type_R5DN_4xLarge,128.0G,16,0,0,8.00G,0,na,Intel Xeon Platinum 8259,600G,NVMe SSD,4750.0M,Up to 25G,593.75M,Yes,18750
r5dn.8xlarge,EC2Family_Memory,EC2Type_R5DN,EC2Type_R5DN_8xLarge,256.0G,32,0,0,8.00G,0,na,Intel Xeon Platinum 8259,1200G,NVMe SSD,6800.0M,25G,850.0M,Yes,30000
r5dn.large,EC2Family_Memory,EC2Type_R5DN,EC2Type_R5DN_Large,16.0G,2,0,0,8.00G,0,na,Intel Xeon Platinum 8259,75G,SSD,4750.0M,Up to 25G,593.75M,Yes,18750
r5dn.metal,EC2Family_Memory,EC2Type_R5DN,EC2Type_R5DN_Metal,768.0G,96,0,0,8.00G,0,na,Intel Xeon Platinum 8259,3600G,NVMe SSD,19000.0M,100G,2375.0M,Yes,80000
r5dn.xlarge,EC2Family_Memory,EC2Type_R5DN,EC2Type_R5DN_xLarge,32.0G,4,0,0,8.00G,0,na,Intel Xeon Platinum 8259,150G,SSD,4750.0M,Up to 25G,593.75M,Yes,18750
r5n.12xlarge,EC2Family_Memory,EC2Type_R5N,EC2Type_R5N_12xLarge,384.0G,48,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,9500.0M,50G,1187.5M,na,40000
r5n.16xlarge,EC2Family_Memory,EC2Type_R5N,EC2Type_R5N_16xLarge,512.0G,64,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,13600.0M,75G,1700.0M,na,60000
r5n.24xlarge,EC2Family_Memory,EC2Type_R5N,EC2Type_R5N_24xLarge,768.0G,96,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,19000.0M,100G,2375.0M,na,80000
r5n.2xlarge,EC2Family_Memory,EC2Type_R5N,EC2Type_R5N_2xLarge,64.0G,8,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,4750.0M,Up to 25G,593.75M,na,18750
r5n.4xlarge,EC2Family_Memory,EC2Type_R5N,EC2Type_R5N_4xLarge,128.0G,16,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,4750.0M,Up to 25G,593.75M,na,18750
r5n.8xlarge,EC2Family_Memory,EC2Type_R5N,EC2Type_R5N_8xLarge,256.0G,32,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,6800.0M,25G,850.0M,na,30000
r5n.large,EC2Family_Memory,EC2Type_R5N,EC2Type_R5N_Large,16.0G,2,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,4750.0M,Up to 25G,593.75M,na,18750
r5n.metal,EC2Family_Memory,EC2Type_R5N,EC2Type_R5N_Metal,768.0G,96,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,19000.0M,100G,2375.0M,na,80000
r5n.xlarge,EC2Family_Memory,EC2Type_R5N,EC2Type_R5N_xLarge,32.0G,4,0,0,8.00G,0,na,Intel Xeon Platinum 8259,EBS only,na,4750.0M,Up to 25G,593.75M,na,18750
r6a.12xlarge,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_12xLarge,384.0G,48,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,10000.0M,18.75G,1250.0M,na,40000
r6a.16xlarge,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_16xLarge,512.0G,64,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,13300.0M,25G,1662.5M,na,53333
r6a.24xlarge,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_24xLarge,768.0G,96,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,20000.0M,37.5G,2500.0M,na,80000
r6a.2xlarge,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_2xLarge,64.0G,8,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.664M,Up to 12.5G,833.333M,na,26667
r6a.32xlarge,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_32xLarge,1024.0G,128,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,26666.664M,50G,3333.333M,na,100000
r6a.48xlarge,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_48xLarge,1536.0G,192,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,40000.0M,50G,5000.0M,na,160000
r6a.4xlarge,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_4xLarge,128.0G,16,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.664M,Up to 12.5G,833.333M,na,26667
r6a.8xlarge,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_8xLarge,256.0G,32,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.664M,12.5G,833.333M,na,26667
r6a.large,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_Large,16.0G,2,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.664M,Up to 12.5G,833.333M,na,26667
r6a.metal,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_Metal,1536.0G,192,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,40000.0M,50G,5000.0M,na,160000
r6a.xlarge,EC2Family_Memory,EC2Type_R6A,EC2Type_R6A_xLarge,32.0G,4,0,0,8.00G,0,na,AMD EPYC 7R13,EBS only,na,6666.664M,Up to 12.5G,833.333M,na,26667
r6g.12xlarge,EC2Family_Memory,EC2Type_R6G,EC2Type_R6G_12xLarge,384.0G,48,0,0,8.00G,0,na,AWS Graviton2,EBS only,na,14250.0M,20G,1781.25M,na,50000
r6g.16xlarge,EC2Family_Memory,EC2Type_R6G,EC2Type_R6G_16xLarge,512.0G,64,0,0,8.00G,0,na,AWS Graviton2,EBS only,na,19000.0M,25G,2375.0M,na,80000
r6g.2xlarge,EC2Family_Memory,EC2Type_R6G,EC2Type_R6G_2xLarge,64.0G,8,0,0,8.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
r6g.4xlarge,EC2Family_Memory,EC2Type_R6G,EC2Type_R6G_4xLarge,128.0G,16,0,0,8.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
r6g.8xlarge,EC2Family_Memory,EC2Type_R6G,EC2Type_R6G_8xLarge,256.0G,32,0,0,8.00G,0,na,AWS Graviton2,EBS only,na,9500.0M,12G,1187.5M,na,40000
r6g.large,EC2Family_Memory,EC2Type_R6G,EC2Type_R6G_Large,16.0G,2,0,0,8.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
r6g.medium,EC2Family_Memory,EC2Type_R6G,EC2Type_R6G_Medium,8.0G,1,0,0,8.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
r6g.metal,EC2Family_Memory,EC2Type_R6G,EC2Type_R6G_Metal,512.0G,64,0,0,8.00G,0,na,AWS Graviton2,EBS only,na,19000.0M,25G,2375.0M,na,80000
r6g.xlarge,EC2Family_Memory,EC2Type_R6G,EC2Type_R6G_xLarge,32.0G,4,0,0,8.00G,0,na,AWS Graviton2,EBS only,na,4750.0M,Up to 10G,593.75M,na,20000
r6gd.12xlarge,EC2Family_Memory,EC2Type_R6GD,EC2Type_R6GD_12xLarge,384.0G,48,0,0,8.00G,0,na,AWS Graviton2,2850G,NVMe SSD,14250.0M,20G,1781.25M,Yes,50000
r6gd.16xlarge,EC2Family_Memory,EC2Type_R6GD,EC2Type_R6GD_16xLarge,512.0G,64,0,0,8.00G,0,na,AWS Graviton2,3800G,NVMe SSD,19000.0M,25G,2375.0M,Yes,80000
r6gd.2xlarge,EC2Family_Memory,EC2Type_R6GD,EC2Type_R6GD_2xLarge,64.0G,8,0,0,8.00G,0,na,AWS Graviton2,474G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
r6gd.4xlarge,EC2Family_Memory,EC2Type_R6GD,EC2Type_R6GD_4xLarge,128.0G,16,0,0,8.00G,0,na,AWS Graviton2,950G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
r6gd.8xlarge,EC2Family_Memory,EC2Type_R6GD,EC2Type_R6GD_8xLarge,256.0G,32,0,0,8.00G,0,na,AWS Graviton2,1900G,SSD,9500.0M,12G,1187.5M,Yes,40000
r6gd.large,EC2Family_Memory,EC2Type_R6GD,EC2Type_R6GD_Large,16.0G,2,0,0,8.00G,0,na,AWS Graviton2,118G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
r6gd.medium,EC2Family_Memory,EC2Type_R6GD,EC2Type_R6GD_Medium,8.0G,1,0,0,8.00G,0,na,AWS Graviton2,59G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
r6gd.metal,EC2Family_Memory,EC2Type_R6GD,EC2Type_R6GD_Metal,512.0G,64,0,0,8.00G,0,na,AWS Graviton2,3800G,NVMe SSD,19000.0M,25G,2375.0M,Yes,80000
r6gd.xlarge,EC2Family_Memory,EC2Type_R6GD,EC2Type_R6GD_xLarge,32.0G,4,0,0,8.00G,0,na,AWS Graviton2,237G,SSD,4750.0M,Up to 10G,593.75M,Yes,20000
r6i.12xlarge,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_12xLarge,384.0G,48,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,15000.0M,18.75G,1875.0M,na,60000
r6i.16xlarge,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_16xLarge,512.0G,64,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,20000.0M,25G,2500.0M,na,80000
r6i.24xlarge,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_24xLarge,768.0G,96,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,30000.0M,37.5G,3750.0M,na,120000
r6i.2xlarge,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_2xLarge,64.0G,8,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,Up to 12.5G,1250.0M,na,40000
r6i.32xlarge,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_32xLarge,1024.0G,128,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,40000.0M,50G,5000.0M,na,160000
r6i.4xlarge,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_4xLarge,128.0G,16,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,Up to 12.5G,1250.0M,na,40000
r6i.8xlarge,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_8xLarge,256.0G,32,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,12.5G,1250.0M,na,40000
r6i.large,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_Large,16.0G,2,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,Up to 12.5G,1250.0M,na,40000
r6i.metal,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_Metal,1024.0G,128,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,40000.0M,50G,5000.0M,na,160000
r6i.xlarge,EC2Family_Memory,EC2Type_R6I,EC2Type_R6I_xLarge,32.0G,4,0,0,8.00G,0,na,Intel Xeon 8375C,EBS only,na,10000.0M,Up to 12.5G,1250.0M,na,40000
r6id.12xlarge,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_12xLarge,384.0G,48,0,0,8.00G,0,na,Intel Xeon 8375C,2850G,NVMe SSD,15000.0M,18.75G,1875.0M,Yes,60000
r6id.16xlarge,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_16xLarge,512.0G,64,0,0,8.00G,0,na,Intel Xeon 8375C,3800G,NVMe SSD,20000.0M,25G,2500.0M,Yes,80000
r6id.24xlarge,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_24xLarge,768.0G,96,0,0,8.00G,0,na,Intel Xeon 8375C,5700G,NVMe SSD,30000.0M,37.5G,3750.0M,Yes,120000
r6id.2xlarge,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_2xLarge,64.0G,8,0,0,8.00G,0,na,Intel Xeon 8375C,474G,SSD,10000.0M,Up to 12.5G,1250.0M,Yes,40000
r6id.32xlarge,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_32xLarge,1024.0G,128,0,0,8.00G,0,na,Intel Xeon 8375C,7600G,NVMe SSD,40000.0M,50G,5000.0M,Yes,160000
r6id.4xlarge,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_4xLarge,128.0G,16,0,0,8.00G,0,na,Intel Xeon 8375C,950G,SSD,10000.0M,Up to 12.5G,1250.0M,Yes,40000
r6id.8xlarge,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_8xLarge,256.0G,32,0,0,8.00G,0,na,Intel Xeon 8375C,1900G,SSD,10000.0M,12.5G,1250.0M,Yes,40000
r6id.large,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_Large,16.0G,2,0,0,8.00G,0,na,Intel Xeon 8375C,118G,SSD,10000.0M,Up to 12.5G,1250.0M,Yes,40000
r6id.metal,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_Metal,1024.0G,128,0,0,8.00G,0,na,Intel Xeon 8375C,7600G,NVMe SSD,40000.0M,50G,5000.0M,Yes,160000
r6id.xlarge,EC2Family_Memory,EC2Type_R6ID,EC2Type_R6ID_xLarge,32.0G,4,0,0,8.00G,0,na,Intel Xeon 8375C,237G,SSD,10000.0M,Up to 12.5G,1250.0M,Yes,40000
t1.micro,EC2Family_General,EC2Type_T1,EC2Type_T1_Micro,0.613G,1,0,0,0.61G,0,na,unknown,EBS only,na,unset,Very Low,0M,na,0
t2.2xlarge,EC2Family_General,EC2Type_T2,EC2Type_T2_2xLarge,32.0G,8,0,0,4.00G,0,na,Intel Xeon Family,EBS only,na,unset,Moderate,0M,na,0
t2.large,EC2Family_General,EC2Type_T2,EC2Type_T2_Large,8.0G,2,0,0,4.00G,0,na,Intel Xeon Family,EBS only,na,unset,Low to Moderate,0M,na,0
t2.medium,EC2Family_General,EC2Type_T2,EC2Type_T2_Medium,4.0G,2,0,0,2.00G,0,na,Intel Xeon Family,EBS only,na,unset,Low to Moderate,0M,na,0
t2.micro,EC2Family_General,EC2Type_T2,EC2Type_T2_Micro,1.0G,1,0,0,1.00G,0,na,Intel Xeon Family,EBS only,na,unset,Low to Moderate,0M,na,0
t2.nano,EC2Family_General,EC2Type_T2,EC2Type_T2_Nano,0.5G,1,0,0,0.50G,0,na,Intel Xeon Family,EBS only,na,unset,Low to Moderate,0M,na,0
t2.small,EC2Family_General,EC2Type_T2,EC2Type_T2_Small,2.0G,1,0,0,2.00G,0,na,Intel Xeon Family,EBS only,na,unset,Low to Moderate,0M,na,0
t2.xlarge,EC2Family_General,EC2Type_T2,EC2Type_T2_xLarge,16.0G,4,0,0,4.00G,0,na,Intel Xeon Family,EBS only,na,unset,Moderate,0M,na,0
t3.2xlarge,EC2Family_General,EC2Type_T3,EC2Type_T3_2xLarge,32.0G,8,0,0,4.00G,0,na,Intel Skylake E5 2686 v5,EBS only,na,2780.0M,Up to 5G,347.5M,na,15700
t3.large,EC2Family_General,EC2Type_T3,EC2Type_T3_Large,8.0G,2,0,0,4.00G,0,na,Intel Skylake E5 2686 v5,EBS only,na,2780.0M,Up to 5G,347.5M,na,15700
t3.medium,EC2Family_General,EC2Type_T3,EC2Type_T3_Medium,4.0G,2,0,0,2.00G,0,na,Intel Skylake E5 2686 v5,EBS only,na,2085.0M,Up to 5G,260.57M,na,11800
t3.micro,EC2Family_General,EC2Type_T3,EC2Type_T3_Micro,1.0G,2,0,0,0.50G,0,na,Intel Skylake E5 2686 v5,EBS only,na,2085.0M,Up to 5G,260.57M,na,11800
