,,accelerator,accelerator_type,accelerator_manufacturer,accelerator_api,accelerator_architecture,accelerator_memory_size,accelerator_tdp
AMD;Radeon;R5,M240,AMDRadeon_R5_M240,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R5,M230,AMDRadeon_R5_M230,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,na
AMD;Radeon;R5,235,AMDRadeon_R5_235,GPU,AMD,OpenCL_1_2,TeraScale2,4GB,35
AMD;Radeon;R5,230,AMDRadeon_R5_230,GPU,AMD,OpenCL_1_2,TeraScale2,4GB,19
AMD;Radeon;Pro;WX,9100,AMDRadeon_PRO_WX_9100,GPU,AMD,OpenCL_2_1,Vega,16GB,230
AMD;Radeon;Pro;WX,8200,AMDRadeon_PRO_WX_8200,GPU,AMD,OpenCL_2_1,Vega,8GB,230
AMD;Radeon;Pro;WX,7100,AMDRadeon_PRO_WX_7100,GPU,AMD,OpenCL_2_0,GCN_4_0,8GB,130
AMD;Radeon;Pro;WX,5100,AMDRadeon_PRO_WX_5100,GPU,AMD,OpenCL_2_0,GCN_4_0,8GB,75
AMD;Radeon;Pro;WX,4170,AMDRadeon_PRO_WX_4170,GPU,AMD,OpenCL_2_0,GCN_4_0,4GB,50
AMD;Radeon;Pro;WX,4150,AMDRadeon_PRO_WX_4150,GPU,AMD,OpenCL_2_0,GCN_4_0,4GB,50
AMD;Radeon;Pro;WX,4130,AMDRadeon_PRO_WX_4130,GPU,AMD,OpenCL_2_0,GCN_4_0,4GB,50
AMD;Radeon;Pro;WX,4100,AMDRadeon_PRO_WX_4100,GPU,AMD,OpenCL_2_0,GCN_4_0,4GB,50
AMD;Radeon;Pro;WX,3200,AMDRadeon_PRO_WX_3200,GPU,AMD,OpenCL_2_0,GCN_4_0,4GB,65
AMD;Radeon;Pro;WX,3100,AMDRadeon_PRO_WX_3100,GPU,AMD,OpenCL_2_0,GCN_4_0,4GB,65
AMD;Radeon;Pro;WX,2100,AMDRadeon_PRO_WX_2100,GPU,AMD,OpenCL_2_0,GCN_4_0,2GB,35
AMD;Radeon;Pro,W6800,AMDRadeon_PRO_W6800,GPU,AMD,OpenCL_2_1,RDNA2,32GB,250
AMD;Radeon;Pro,W6600M,AMDRadeon_PRO_W6600M,GPU,AMD,OpenCL_2_1,RDNA2,8GB,90
AMD;Radeon;Pro,W6600,AMDRadeon_PRO_W6600,GPU,AMD,OpenCL_2_1,RDNA2,8GB,100
AMD;Radeon;Pro,W6500M,AMDRadeon_PRO_W6500M,GPU,AMD,OpenCL_2_2,RDNA2,4GB,50
AMD;Radeon;Pro,W6400,AMDRadeon_PRO_W6400,GPU,AMD,OpenCL_2_2,RDNA2,4GB,50
AMD;Radeon;Pro,W6300M,AMDRadeon_PRO_W6300M,GPU,AMD,OpenCL_2_2,RDNA2,2GB,25
AMD;Radeon;Pro,W5700,AMDRadeon_PRO_W5700,GPU,AMD,OpenCL_2_1,RDNA,8GB,205
AMD;Radeon;Pro,W5500M,AMDRadeon_PRO_W5500M,GPU,AMD,OpenCL_2_1,RDNA,4GB,85
AMD;Radeon;Pro,W5500,AMDRadeon_PRO_W5500,GPU,AMD,OpenCL_2_1,RDNA,8GB,125
AMD;Radeon;Pro,VII,AMDRadeon_PRO_VII,GPU,AMD,OpenCL_2_1,Vega20,16GB,250
AMD;Radeon;Pro,V620,AMDRadeon_PRO_V620,GPU,AMD,OpenCL_2_1,RDNA2,32GB,300
AMD;Radeon;Pro,V520,AMDRadeon_PRO_V520,GPU,AMD,OpenCL_2_2,RDNA,8GB,225
AMD;Radeon;Pro,V520,AMDRadeonPRO_V_250,GPU,AMD,OpenCL_2_2,RDNA,8GB,225
AMD;Radeon;Pro,SSG,AMDRadeon_PRO_SSG,GPU,AMD,OpenCL_2_1,Vega,16GB,260
AMD;Radeon;Pro,Duo,AMDRadeon_PRO_Duo,GPU,AMD,OpenCL_2_0,GCN_3_0,32GB,350
AMD;Radeon;HD;7970,GHz,AMDRadeon_HD_7970_GE,GPU,AMD,OpenCL_1_2,GCN_1_0,3GB,300
AMD;Radeon;HD;7970,,AMDRadeon_HD_7970,GPU,AMD,OpenCL_1_2,GCN_1_0,3GB,250
AMD;Radeon;HD,8970M,AMDRadeon_HD_8970M,GPU,AMD,OpenCL_1_2,GCN_1_0,4GB,100
AMD;Radeon;HD,8870M,AMDRadeon_HD_8870M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8850M,AMDRadeon_HD_8850M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8830M,AMDRadeon_HD_8830M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8790M,AMDRadeon_HD_8790M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8770M,AMDRadeon_HD_8770M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8750M,AMDRadeon_HD_8750M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8730M,AMDRadeon_HD_8730M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8690M,AMDRadeon_HD_8690M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8670M,AMDRadeon_HD_8670M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8590M,AMDRadeon_HD_8590M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,8570M,AMDRadeon_HD_8570M,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,na
AMD;Radeon;HD,7990,AMDRadeon_HD_7990,GPU,AMD,OpenCL_1_2,GCN_1_0,3GB,375
AMD;Radeon;HD,7950,AMDRadeon_HD_7950,GPU,AMD,OpenCL_1_2,GCN_1_0,3GB,200
AMD;Radeon;HD,7870,AMDRadeon_HD_7870_GE,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,175
AMD;Radeon;HD,7850,AMDRadeon_HD_7850,GPU,AMD,OpenCL_1_2,GCN_1_0,2GB,130
AMD;Radeon;HD,7790,AMDRadeon_HD_7790,GPU,AMD,OpenCL_2_0,GCN_2_0,1GB,85
AMD;Radeon;HD,7770,AMDRadeon_HD_7770_GE,GPU,AMD,OpenCL_1_2,GCN_1_0,1GB,80
AMD;Radeon;HD,7750,AMDRadeon_HD_7750,GPU,AMD,OpenCL_1_2,GCN_1_0,1GB,55
AMD;Radeon;HD,7730,AMDRadeon_HD_7730,GPU,AMD,OpenCL_1_2,GCN_1_0,1GB,47
AMD;Radeon;HD,6970,AMDRadeon_HD_6970,GPU,AMD,OpenCL_1_2,TeraScale3,2GB,250
AMD;Radeon;HD,6950,AMDRadeon_HD_6950,GPU,AMD,OpenCL_1_2,TeraScale3,2GB,200
