,,processor_core_count,processor_clock,processor_core_threadscount,processor_isa,processor_simd,processor_microarchitecture,processor,processor_manufacturer,processor_tdp,processor_core_L1_size, processor_core_L2_size, processor_L3_size,node_memory_bandwidth,node_memory_type
AMD;A4,5000,4,1.5G,4,64-bit,unset,unset,AMD_A4_5000,AMD,15,256KB,2MB,unset,1600M,DDR3
AMD;A4,5100,4,1.55G,4,64-bit,unset,unset,AMD_A4_5100,AMD,15,256KB,2MB,unset,1600M,DDR3
AMD;A4,6210,4,1.8G,4,64-bit,unset,unset,AMD_A4_6210,AMD,15,unset,2MB,unset,1599M,DDR3L
AMD;A4,6300,2,3.7G,2,64-bit,unset,unset,AMD_A4_6300,AMD,65,96KB,1MB,unset,1600M,DDR3
AMD;A4,6320,2,3.8G,2,64-bit,unset,unset,AMD_A4_6320,AMD,65,96KB,1MB,unset,1600M,DDR3
AMD;A4,7210,4,1.8G,4,64-bit,unset,unset,AMD_A4_7210,AMD,65,unset,2MB,unset,1600M,DDR3L
AMD;A4,7300,2,3.8G,2,64-bit,unset,unset,AMD_A4_7300,AMD,65,96KB,1MB,unset,1600M,DDR3
AMD;A4;3340B,PRO,4,2.2G,4,64-bit,unset,unset,AMD_A4_PRO_3340B,AMD,25,unset,2MB,unset,1600M,DDR3L
AMD;A4;3350B,PRO,4,2.0G,4,64-bit,unset,unset,AMD_A4_PRO_3350B,AMD,15,unset,2MB,unset,1600M,DDR3
AMD;A4;6;8350B;APU,PRO,2,3.5G,2,64-bit,unset,unset,AMD_A4_PRO_6_8350B_APU,AMD,65,unset,1MB,unset,1866M,DDR3
AMD;A4;7;4350B;APU,PRO,2,2.5G,2,64-bit,unset,unset,AMD_A4_PRO_7_4350B_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;A4;7;5350B;APU,PRO,2,3.0G,2,64-bit,unset,unset,AMD_A4_PRO_7_5350B_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;A4;7;9120,APU,2,2.2G,2,64-bit,unset,unset,AMD_A4_7_9120_APU,AMD,15,unset,1MB,unset,2133M,DDR4
AMD;A4;7;9120C,APU,2,1.6G,2,64-bit,unset,unset,AMD_A4_7_9120C_APU,AMD,6,160KB,1MB,unset,1866M,unset
AMD;A4;7;9125,APU,2,2.3G,2,64-bit,unset,unset,AMD_A4_7_9125_APU,AMD,15,unset,1MB,unset,2133M,unset
